iptelnet;porta;label;rede_origem;status_telnet;status_ping;
10.221.25.45;1525;Tuffin 37310;;naook;ok;
10.221.113.207;1525;Tuffin 37310;;naook;ok;
10.221.121.195;1525;Tuffin 37310;;naook;ok;
10.221.63.199;1525;Tuffin 37310;;naook;falha;
10.221.25.44;1525;Tuffin 37310;;naook;ok;
10.221.63.242;1525;Tuffin 37310;;naook;ok;
10.221.121.194;1525;Tuffin 37310;;naook;ok;
10.221.30.170;80;Tuffin 37311;;naook;ok;
10.221.30.170;443;Tuffin 37311;;ok;ok;
10.221.30.170;3389;Tuffin 37311;;ok;ok;
10.192.12.174;80;Tuffin 37311;;naook;ok;
10.192.12.174;443;Tuffin 37311;;ok;ok;
10.192.12.174;3389;Tuffin 37311;;naook;ok;
10.168.16.87;80;Tuffin 37311;;naook;falha;
10.168.16.87;443;Tuffin 37311;;naook;falha;
10.168.16.87;3389;Tuffin 37311;;naook;falha;
10.192.72.1;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.2;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.3;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.4;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.5;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.6;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.7;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.8;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.9;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.10;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.11;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.12;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.13;22;Tuffin 37308;10.192.72.0/24;ok;falha;
10.192.72.14;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.15;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.16;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.17;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.18;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.19;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.20;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.21;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.22;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.23;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.24;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.25;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.26;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.27;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.28;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.29;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.30;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.31;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.32;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.33;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.34;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.35;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.36;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.37;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.38;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.39;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.40;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.41;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.42;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.43;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.44;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.45;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.46;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.47;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.48;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.49;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.50;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.51;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.52;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.53;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.54;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.55;22;Tuffin 37308;10.192.72.0/24;naook;ok;
10.192.72.56;22;Tuffin 37308;10.192.72.0/24;ok;ok;
10.192.72.57;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.58;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.59;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.60;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.61;22;Tuffin 37308;10.192.72.0/24;naook;falha;
10.192.72.62;22;Tuffin 37308;10.192.72.0/24;naook;falha;
