10.221.24.34;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.34;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.35;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.35;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.35;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.36;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.36;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.36;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.37;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.37;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.37;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.38;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.38;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.38;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.39;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.39;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.39;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.40;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.40;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.40;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.41;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.41;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.41;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.42;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.42;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.42;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.43;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.43;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.43;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.44;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.44;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.44;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.45;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.45;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.45;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.46;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.46;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.46;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.47;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.47;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.47;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.48;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.48;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.48;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.49;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.49;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.49;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.50;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.50;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.50;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.51;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.51;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.51;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.52;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.52;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.52;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.53;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.53;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.53;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.54;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.54;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.54;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.55;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.55;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.55;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.56;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.56;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.56;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.57;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.57;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.57;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.58;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.58;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.58;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.59;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.59;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
10.221.24.59;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.24.0/26;
