timestamp;data;status_teste;ip;porta;controle;origem;mascara rede;
1653673035;27/05/2022 14:37:15;naook;10.183.16.241;1521;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673040;27/05/2022 14:37:20;naook;10.183.16.241;1525;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673046;27/05/2022 14:37:26;naook;10.183.16.242;80;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673052;27/05/2022 14:37:32;naook;10.183.16.242;443;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673058;27/05/2022 14:37:38;naook;10.183.16.242;1521;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673064;27/05/2022 14:37:44;naook;10.183.16.242;1525;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673070;27/05/2022 14:37:50;naook;10.183.16.243;80;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673076;27/05/2022 14:37:56;naook;10.183.16.243;443;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673082;27/05/2022 14:38:02;naook;10.183.16.243;1521;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673088;27/05/2022 14:38:08;naook;10.183.16.243;1525;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673094;27/05/2022 14:38:14;naook;10.183.16.244;80;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673100;27/05/2022 14:38:20;naook;10.183.16.244;443;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673106;27/05/2022 14:38:26;naook;10.183.16.244;1521;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673112;27/05/2022 14:38:32;naook;10.183.16.244;1525;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673118;27/05/2022 14:38:38;naook;10.183.16.245;80;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673124;27/05/2022 14:38:44;naook;10.183.16.245;443;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673130;27/05/2022 14:38:50;naook;10.183.16.245;1521;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673136;27/05/2022 14:38:56;naook;10.183.16.245;1525;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673142;27/05/2022 14:39:02;naook;10.183.16.246;80;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673148;27/05/2022 14:39:08;naook;10.183.16.246;443;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673154;27/05/2022 14:39:14;naook;10.183.16.246;1521;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673160;27/05/2022 14:39:20;naook;10.183.16.246;1525;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673166;27/05/2022 14:39:26;naook;10.183.16.247;80;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673172;27/05/2022 14:39:32;naook;10.183.16.247;443;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673178;27/05/2022 14:39:38;naook;10.183.16.247;1521;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673184;27/05/2022 14:39:44;naook;10.183.16.247;1525;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673190;27/05/2022 14:39:50;naook;10.183.16.248;80;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673196;27/05/2022 14:39:56;naook;10.183.16.248;443;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673202;27/05/2022 14:40:02;naook;10.183.16.248;1521;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673208;27/05/2022 14:40:08;naook;10.183.16.248;1525;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673214;27/05/2022 14:40:14;naook;10.183.16.249;80;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
1653673220;27/05/2022 14:40:20;naook;10.183.16.249;443;Tuffin 37310;10.16.7.192/26,10.174.21.64/26;10.183.16.0/24;
