timestamp;data;status_teste;ip;porta;controle;origem;mascara rede;
1654287170;03/06/2022 17:12:50;naook;10.221.30.170;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287178;03/06/2022 17:12:58;ok;10.221.30.170;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287184;03/06/2022 17:13:04;ok;10.221.30.170;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287216;03/06/2022 17:13:36;naook;10.192.12.174;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287224;03/06/2022 17:13:44;ok;10.192.12.174;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287232;03/06/2022 17:13:52;naook;10.192.12.174;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287238;03/06/2022 17:13:58;naook;10.168.16.87;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287244;03/06/2022 17:14:04;naook;10.168.16.87;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287250;03/06/2022 17:14:10;naook;10.168.16.87;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287256;03/06/2022 17:14:16;naook;10.183.40.1;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287262;03/06/2022 17:14:22;naook;10.183.40.1;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287268;03/06/2022 17:14:28;naook;10.183.40.1;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287274;03/06/2022 17:14:34;naook;10.183.40.2;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287280;03/06/2022 17:14:40;naook;10.183.40.2;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287287;03/06/2022 17:14:47;naook;10.183.40.2;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287293;03/06/2022 17:14:53;naook;10.183.40.3;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
