timestamp;data;status_teste;ip;porta;controle;origem;mascara rede;
1653673032;27/05/2022 14:37:12;naook;10.221.121.76;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673037;27/05/2022 14:37:17;naook;10.221.121.76;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673043;27/05/2022 14:37:23;naook;10.221.121.77;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673049;27/05/2022 14:37:29;naook;10.221.121.77;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673055;27/05/2022 14:37:35;naook;10.221.121.77;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673061;27/05/2022 14:37:41;naook;10.221.121.78;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673067;27/05/2022 14:37:47;ok;10.221.121.78;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673073;27/05/2022 14:37:53;naook;10.221.121.78;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673079;27/05/2022 14:37:59;ok;10.221.121.79;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673085;27/05/2022 14:38:05;naook;10.221.121.79;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673086;27/05/2022 14:38:06;ok;10.221.121.79;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673091;27/05/2022 14:38:11;ok;10.221.121.80;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673097;27/05/2022 14:38:17;naook;10.221.121.80;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673098;27/05/2022 14:38:18;ok;10.221.121.80;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673103;27/05/2022 14:38:23;ok;10.221.121.81;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673109;27/05/2022 14:38:29;ok;10.221.121.81;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673115;27/05/2022 14:38:35;naook;10.221.121.81;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673116;27/05/2022 14:38:36;ok;10.221.121.82;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673121;27/05/2022 14:38:41;naook;10.221.121.82;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673122;27/05/2022 14:38:42;naook;10.221.121.82;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673122;27/05/2022 14:38:42;ok;10.221.121.83;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673127;27/05/2022 14:38:47;naook;10.221.121.83;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673128;27/05/2022 14:38:48;naook;10.221.121.83;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673128;27/05/2022 14:38:48;naook;10.221.121.84;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673133;27/05/2022 14:38:53;naook;10.221.121.84;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673139;27/05/2022 14:38:59;naook;10.221.121.84;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673145;27/05/2022 14:39:05;naook;10.221.121.85;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673151;27/05/2022 14:39:11;naook;10.221.121.85;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673157;27/05/2022 14:39:17;naook;10.221.121.85;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673163;27/05/2022 14:39:23;naook;10.221.121.86;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673169;27/05/2022 14:39:29;naook;10.221.121.86;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673175;27/05/2022 14:39:35;naook;10.221.121.86;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673181;27/05/2022 14:39:41;naook;10.221.121.87;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673187;27/05/2022 14:39:47;naook;10.221.121.87;3389;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673193;27/05/2022 14:39:53;naook;10.221.121.87;80;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
1653673199;27/05/2022 14:39:59;naook;10.221.121.88;22;Tuffin 37308;10.16.7.192/26,10.174.21.64/26;10.221.121.0/24;
