timestamp;data;status_teste;ip;porta;controle;origem;mascara rede;
1654287202;03/06/2022 17:13:22;naook;10.221.30.170;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287232;03/06/2022 17:13:52;ok;10.221.30.170;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287239;03/06/2022 17:13:59;ok;10.221.30.170;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287245;03/06/2022 17:14:05;naook;10.192.12.174;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287251;03/06/2022 17:14:11;ok;10.192.12.174;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287257;03/06/2022 17:14:17;naook;10.192.12.174;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287263;03/06/2022 17:14:23;naook;10.168.16.87;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287269;03/06/2022 17:14:29;naook;10.168.16.87;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287275;03/06/2022 17:14:35;naook;10.168.16.87;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287281;03/06/2022 17:14:41;naook;10.183.40.1;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287287;03/06/2022 17:14:47;naook;10.183.40.1;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287293;03/06/2022 17:14:53;naook;10.183.40.1;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287299;03/06/2022 17:14:59;naook;10.183.40.2;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287305;03/06/2022 17:15:05;naook;10.183.40.2;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287311;03/06/2022 17:15:11;naook;10.183.40.2;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287317;03/06/2022 17:15:17;naook;10.183.40.3;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287323;03/06/2022 17:15:23;naook;10.183.40.3;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287329;03/06/2022 17:15:29;naook;10.183.40.3;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287335;03/06/2022 17:15:35;naook;10.183.40.4;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287341;03/06/2022 17:15:41;naook;10.183.40.4;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287347;03/06/2022 17:15:47;naook;10.183.40.4;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287353;03/06/2022 17:15:53;naook;10.183.40.5;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287359;03/06/2022 17:15:59;naook;10.183.40.5;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287365;03/06/2022 17:16:05;naook;10.183.40.5;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287371;03/06/2022 17:16:11;naook;10.183.40.6;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287377;03/06/2022 17:16:17;naook;10.183.40.6;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287383;03/06/2022 17:16:23;naook;10.183.40.6;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287389;03/06/2022 17:16:29;naook;10.183.40.7;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287395;03/06/2022 17:16:35;naook;10.183.40.7;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287401;03/06/2022 17:16:41;naook;10.183.40.7;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287408;03/06/2022 17:16:48;naook;10.183.40.8;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287414;03/06/2022 17:16:54;naook;10.183.40.8;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287420;03/06/2022 17:17:00;naook;10.183.40.8;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287426;03/06/2022 17:17:06;naook;10.183.40.9;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287432;03/06/2022 17:17:12;naook;10.183.40.9;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287438;03/06/2022 17:17:18;naook;10.183.40.9;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287444;03/06/2022 17:17:24;naook;10.183.40.10;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287450;03/06/2022 17:17:30;naook;10.183.40.10;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287456;03/06/2022 17:17:36;naook;10.183.40.10;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287462;03/06/2022 17:17:42;naook;10.183.40.11;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287468;03/06/2022 17:17:48;naook;10.183.40.11;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287474;03/06/2022 17:17:54;naook;10.183.40.11;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287480;03/06/2022 17:18:00;naook;10.183.40.12;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287478;03/06/2022 17:17:58;naook;10.183.40.12;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287480;03/06/2022 17:18:00;naook;10.183.40.12;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287479;03/06/2022 17:17:59;naook;10.183.40.13;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
