timestamp;data;status_teste;ip;porta;controle;origem;mascara rede;
1654287184;03/06/2022 17:13:04;naook;10.221.30.170;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287191;03/06/2022 17:13:11;ok;10.221.30.170;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287209;03/06/2022 17:13:29;ok;10.221.30.170;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287219;03/06/2022 17:13:39;naook;10.192.12.174;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287232;03/06/2022 17:13:52;ok;10.192.12.174;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287239;03/06/2022 17:13:59;naook;10.192.12.174;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287245;03/06/2022 17:14:05;naook;10.168.16.87;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287251;03/06/2022 17:14:11;naook;10.168.16.87;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287257;03/06/2022 17:14:17;naook;10.168.16.87;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287263;03/06/2022 17:14:23;naook;10.183.40.1;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287269;03/06/2022 17:14:29;naook;10.183.40.1;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287275;03/06/2022 17:14:35;naook;10.183.40.1;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287281;03/06/2022 17:14:41;naook;10.183.40.2;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287287;03/06/2022 17:14:47;naook;10.183.40.2;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287294;03/06/2022 17:14:54;naook;10.183.40.2;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287300;03/06/2022 17:15:00;naook;10.183.40.3;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287306;03/06/2022 17:15:06;naook;10.183.40.3;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287312;03/06/2022 17:15:12;naook;10.183.40.3;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287318;03/06/2022 17:15:18;naook;10.183.40.4;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287324;03/06/2022 17:15:24;naook;10.183.40.4;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287330;03/06/2022 17:15:30;naook;10.183.40.4;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287336;03/06/2022 17:15:36;naook;10.183.40.5;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287342;03/06/2022 17:15:42;naook;10.183.40.5;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287348;03/06/2022 17:15:48;naook;10.183.40.5;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287354;03/06/2022 17:15:54;naook;10.183.40.6;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287360;03/06/2022 17:16:00;naook;10.183.40.6;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287366;03/06/2022 17:16:06;naook;10.183.40.6;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287372;03/06/2022 17:16:12;naook;10.183.40.7;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287378;03/06/2022 17:16:18;naook;10.183.40.7;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287384;03/06/2022 17:16:24;naook;10.183.40.7;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287390;03/06/2022 17:16:30;naook;10.183.40.8;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287396;03/06/2022 17:16:36;naook;10.183.40.8;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287402;03/06/2022 17:16:42;naook;10.183.40.8;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287408;03/06/2022 17:16:48;naook;10.183.40.9;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287414;03/06/2022 17:16:54;naook;10.183.40.9;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287420;03/06/2022 17:17:00;naook;10.183.40.9;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287426;03/06/2022 17:17:06;naook;10.183.40.10;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287432;03/06/2022 17:17:12;naook;10.183.40.10;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287438;03/06/2022 17:17:18;naook;10.183.40.10;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287444;03/06/2022 17:17:24;naook;10.183.40.11;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287450;03/06/2022 17:17:30;naook;10.183.40.11;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287456;03/06/2022 17:17:36;naook;10.183.40.11;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287462;03/06/2022 17:17:42;naook;10.183.40.12;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287468;03/06/2022 17:17:48;naook;10.183.40.12;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287474;03/06/2022 17:17:54;naook;10.183.40.12;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287480;03/06/2022 17:18:00;naook;10.183.40.13;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287483;03/06/2022 17:18:03;naook;10.183.40.13;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
4;
