timestamp;data;status_teste;ip;porta;controle;origem;mascara rede;
1654287214;03/06/2022 17:13:34;naook;10.221.30.170;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287222;03/06/2022 17:13:42;ok;10.221.30.170;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287232;03/06/2022 17:13:52;ok;10.221.30.170;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.221.30.170/32;
1654287241;03/06/2022 17:14:01;naook;10.192.12.174;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287247;03/06/2022 17:14:07;ok;10.192.12.174;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287253;03/06/2022 17:14:13;naook;10.192.12.174;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.192.12.174/32;
1654287259;03/06/2022 17:14:19;naook;10.168.16.87;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287265;03/06/2022 17:14:25;naook;10.168.16.87;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287271;03/06/2022 17:14:31;naook;10.168.16.87;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.168.16.87/32;
1654287277;03/06/2022 17:14:37;naook;10.183.40.1;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287283;03/06/2022 17:14:43;naook;10.183.40.1;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287289;03/06/2022 17:14:49;naook;10.183.40.1;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287295;03/06/2022 17:14:55;naook;10.183.40.2;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287301;03/06/2022 17:15:01;naook;10.183.40.2;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287307;03/06/2022 17:15:07;naook;10.183.40.2;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287313;03/06/2022 17:15:13;naook;10.183.40.3;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287319;03/06/2022 17:15:19;naook;10.183.40.3;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287325;03/06/2022 17:15:25;naook;10.183.40.3;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287331;03/06/2022 17:15:31;naook;10.183.40.4;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287337;03/06/2022 17:15:37;naook;10.183.40.4;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287343;03/06/2022 17:15:43;naook;10.183.40.4;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287349;03/06/2022 17:15:49;naook;10.183.40.5;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287355;03/06/2022 17:15:55;naook;10.183.40.5;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287361;03/06/2022 17:16:01;naook;10.183.40.5;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287367;03/06/2022 17:16:07;naook;10.183.40.6;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287373;03/06/2022 17:16:13;naook;10.183.40.6;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287379;03/06/2022 17:16:19;naook;10.183.40.6;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287385;03/06/2022 17:16:25;naook;10.183.40.7;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287391;03/06/2022 17:16:31;naook;10.183.40.7;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287397;03/06/2022 17:16:37;naook;10.183.40.7;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287403;03/06/2022 17:16:43;naook;10.183.40.8;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287409;03/06/2022 17:16:49;naook;10.183.40.8;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287415;03/06/2022 17:16:55;naook;10.183.40.8;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287421;03/06/2022 17:17:01;naook;10.183.40.9;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287427;03/06/2022 17:17:07;naook;10.183.40.9;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287433;03/06/2022 17:17:13;naook;10.183.40.9;3389;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287439;03/06/2022 17:17:19;naook;10.183.40.10;80;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
1654287445;03/06/2022 17:17:25;naook;10.183.40.10;443;Tuffin 37311;10.16.7.192/26,10.174.21.64/26;10.183.40.0/24;
