timestamp;data;status_teste;ip;porta;controle;origem;mascara rede;
1653921791;30/05/2022 11:43:11;ok;10.221.25.252;22;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921796;30/05/2022 11:43:16;naook;10.221.25.252;3389;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921802;30/05/2022 11:43:22;naook;10.221.25.252;80;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921808;30/05/2022 11:43:28;naook;10.221.25.252;1520;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921814;30/05/2022 11:43:34;naook;10.221.25.252;1599;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921820;30/05/2022 11:43:40;naook;10.221.25.252;1158;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921826;30/05/2022 11:43:46;naook;10.221.25.252;5500;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921832;30/05/2022 11:43:52;naook;10.221.25.252;5519;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921838;30/05/2022 11:43:58;ok;10.221.25.252;1521;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921845;30/05/2022 11:44:05;naook;10.221.25.252;1525;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921851;30/05/2022 11:44:11;naook;10.221.25.252;5520;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921857;30/05/2022 11:44:17;naook;10.221.25.252;5539;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921863;30/05/2022 11:44:23;naook;10.221.25.252;1400;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921869;30/05/2022 11:44:29;naook;10.221.25.252;1499;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921875;30/05/2022 11:44:35;naook;10.221.25.252;3306;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921881;30/05/2022 11:44:41;naook;10.221.25.252;33060;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921887;30/05/2022 11:44:47;naook;10.221.25.252;33062;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921893;30/05/2022 11:44:53;naook;10.221.25.252;5430;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921899;30/05/2022 11:44:59;naook;10.221.25.252;5540;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921905;30/05/2022 11:45:05;naook;10.221.25.252;50000;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921911;30/05/2022 11:45:11;naook;10.221.25.252;50999;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921917;30/05/2022 11:45:17;naook;10.221.25.252;443;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
1653921923;30/05/2022 11:45:23;naook;10.221.25.252;1432;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.25.252/32;
