timestamp;data;status_teste;ip;porta;controle;origem;mascara rede;
1653921793;30/05/2022 11:43:13;naook;10.192.26.63;5500;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921798;30/05/2022 11:43:18;naook;10.192.26.63;5519;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921804;30/05/2022 11:43:24;naook;10.192.26.63;1521;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921810;30/05/2022 11:43:30;naook;10.192.26.63;1525;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921816;30/05/2022 11:43:36;naook;10.192.26.63;5520;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921822;30/05/2022 11:43:42;naook;10.192.26.63;5539;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921828;30/05/2022 11:43:48;naook;10.192.26.63;1400;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921834;30/05/2022 11:43:54;naook;10.192.26.63;1499;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921840;30/05/2022 11:44:00;naook;10.192.26.63;3306;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921846;30/05/2022 11:44:06;naook;10.192.26.63;33060;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921852;30/05/2022 11:44:12;naook;10.192.26.63;33062;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921858;30/05/2022 11:44:18;naook;10.192.26.63;5430;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921864;30/05/2022 11:44:24;naook;10.192.26.63;5540;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921870;30/05/2022 11:44:30;naook;10.192.26.63;50000;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921876;30/05/2022 11:44:36;naook;10.192.26.63;50999;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921883;30/05/2022 11:44:43;naook;10.192.26.63;443;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921889;30/05/2022 11:44:49;naook;10.192.26.63;1432;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921895;30/05/2022 11:44:55;naook;10.192.26.63;1435;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.63/32;
1653921901;30/05/2022 11:45:01;ok;10.221.21.34;22;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921907;30/05/2022 11:45:07;naook;10.221.21.34;3389;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;80;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;1520;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;1599;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;1158;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;5500;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;5519;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;1521;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;1525;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;5520;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;5539;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;1400;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;1499;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;3306;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;33060;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;33062;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;5430;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;5540;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;50000;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;50999;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;443;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;1432;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.221.21.34;1435;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.221.21.34/32;
1653921908;30/05/2022 11:45:08;naook;10.192.12.49;22;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921913;30/05/2022 11:45:13;naook;10.192.12.49;3389;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921919;30/05/2022 11:45:19;naook;10.192.12.49;80;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921925;30/05/2022 11:45:25;naook;10.192.12.49;1520;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921931;30/05/2022 11:45:31;naook;10.192.12.49;1599;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921937;30/05/2022 11:45:37;naook;10.192.12.49;1158;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921943;30/05/2022 11:45:43;naook;10.192.12.49;5500;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921949;30/05/2022 11:45:49;naook;10.192.12.49;5519;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921955;30/05/2022 11:45:55;naook;10.192.12.49;1521;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921961;30/05/2022 11:46:01;naook;10.192.12.49;1525;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921967;30/05/2022 11:46:07;naook;10.192.12.49;5520;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921973;30/05/2022 11:46:13;naook;10.192.12.49;5539;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921979;30/05/2022 11:46:19;naook;10.192.12.49;1400;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921985;30/05/2022 11:46:25;naook;10.192.12.49;1499;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921991;30/05/2022 11:46:31;naook;10.192.12.49;3306;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653921997;30/05/2022 11:46:37;naook;10.192.12.49;33060;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653922003;30/05/2022 11:46:43;naook;10.192.12.49;33062;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653922009;30/05/2022 11:46:49;naook;10.192.12.49;5430;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653922015;30/05/2022 11:46:55;naook;10.192.12.49;5540;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653922021;30/05/2022 11:47:01;naook;10.192.12.49;50000;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653922027;30/05/2022 11:47:07;naook;10.192.12.49;50999;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653922033;30/05/2022 11:47:13;naook;10.192.12.49;443;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653922039;30/05/2022 11:47:19;naook;10.192.12.49;1432;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653922045;30/05/2022 11:47:25;naook;10.192.12.49;1435;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.12.49/32;
1653922051;30/05/2022 11:47:31;ok;10.192.26.162;22;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
1653922057;30/05/2022 11:47:37;naook;10.192.26.162;3389;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
1653922058;30/05/2022 11:47:38;naook;10.192.26.162;80;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
1653922058;30/05/2022 11:47:38;naook;10.192.26.162;1520;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
1653922058;30/05/2022 11:47:38;naook;10.192.26.162;1599;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
1653922058;30/05/2022 11:47:38;naook;10.192.26.162;1158;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
1653922058;30/05/2022 11:47:38;naook;10.192.26.162;5500;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
1653922058;30/05/2022 11:47:38;naook;10.192.26.162;5519;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
1653922058;30/05/2022 11:47:38;naook;10.192.26.162;1521;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
1653922058;30/05/2022 11:47:38;naook;10.192.26.162;1525;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
1653922058;30/05/2022 11:47:38;naook;10.192.26.162;5520;Tuffin 37309;10.16.7.192/26,10.174.21.64/26;10.192.26.162/32;
